{1, [43, 72, 53, 76, 63], [[0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.25055754346210724, 0.0], [0.0, 0.0, 0.39283662259455987, 0.0, 0.5718533571842558], [0.6619003593543281, 0.0, 0.0, 0.0, 0.430129317737724], [0.0, 0.0, 0.0, 0.0, 0.0]]}.
{1, [29, 90, 34, 91, 61], [[0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.25055754346210724, 0.0], [0.0, 0.0, 0.39283662259455987, 0.0, 0.5718533571842558], [0.6619003593543281, 0.0, 0.0, 0.0, 0.430129317737724], [0.0, 0.0, 0.0, 0.0, 0.0]]}.
{1, [62, 43, 7, 63, 61], [[0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.25055754346210724, 0.0], [0.0, 0.0, 0.39283662259455987, 0.0, 0.5718533571842558], [0.6619003593543281, 0.0, 0.0, 0.0, 0.430129317737724], [0.0, 0.0, 0.0, 0.0, 0.0]]}.
{1, [56, 44, 68, 77, 74], [[0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.25055754346210724, 0.0], [0.0, 0.0, 0.39283662259455987, 0.0, 0.5718533571842558], [0.6619003593543281, 0.0, 0.0, 0.0, 0.430129317737724], [0.0, 0.0, 0.0, 0.0, 0.0]]}.
{1, [42, 11, 38, 35, 74], [[0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.25055754346210724, 0.0], [0.0, 0.0, 0.39283662259455987, 0.0, 0.5718533571842558], [0.6619003593543281, 0.0, 0.0, 0.0, 0.430129317737724], [0.0, 0.0, 0.0, 0.0, 0.0]]}.
{2, [43, 72, 53, 76, 63], [[0.31639669623688804, 0.04923398403052648, 0.0, 0.8991633745660637, 0.0], [0.0, 0.0, 0.6924826006664262, 0.5189645907449475, 0.0], [0.8703802774422038, 0.0, 0.0, 0.0, 0.4109086435196153], [0.0, 0.0, 0.0, 0.0, 0.37709934312296], [0.0, 0.0, 0.0, 0.0, 0.0]]}.
{2, [29, 90, 34, 91, 61], [[0.31639669623688804, 0.04923398403052648, 0.0, 0.8991633745660637, 0.0], [0.0, 0.0, 0.6924826006664262, 0.5189645907449475, 0.0], [0.8703802774422038, 0.0, 0.0, 0.0, 0.4109086435196153], [0.0, 0.0, 0.0, 0.0, 0.37709934312296], [0.0, 0.0, 0.0, 0.0, 0.0]]}.
{2, [62, 43, 7, 63, 61], [[0.31639669623688804, 0.04923398403052648, 0.0, 0.8991633745660637, 0.0], [0.0, 0.0, 0.6924826006664262, 0.5189645907449475, 0.0], [0.8703802774422038, 0.0, 0.0, 0.0, 0.4109086435196153], [0.0, 0.0, 0.0, 0.0, 0.37709934312296], [0.0, 0.0, 0.0, 0.0, 0.0]]}.
{2, [56, 44, 68, 77, 74], [[0.31639669623688804, 0.04923398403052648, 0.0, 0.8991633745660637, 0.0], [0.0, 0.0, 0.6924826006664262, 0.5189645907449475, 0.0], [0.8703802774422038, 0.0, 0.0, 0.0, 0.4109086435196153], [0.0, 0.0, 0.0, 0.0, 0.37709934312296], [0.0, 0.0, 0.0, 0.0, 0.0]]}.
{2, [42, 11, 38, 35, 74], [[0.31639669623688804, 0.04923398403052648, 0.0, 0.8991633745660637, 0.0], [0.0, 0.0, 0.6924826006664262, 0.5189645907449475, 0.0], [0.8703802774422038, 0.0, 0.0, 0.0, 0.4109086435196153], [0.0, 0.0, 0.0, 0.0, 0.37709934312296], [0.0, 0.0, 0.0, 0.0, 0.0]]}.
{3, [43, 72, 53, 76, 63], [[0.7226291469045466, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.5620656715109901, 0.0, 0.0, 0.0], [0.0, 0.2809171145551249, 0.0, 0.8974680330580815, 0.0], [0.7749574348740003, 0.0, 0.0, 0.0, 0.7982701053157513]]}.
{3, [29, 90, 34, 91, 61], [[0.7226291469045466, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.5620656715109901, 0.0, 0.0, 0.0], [0.0, 0.2809171145551249, 0.0, 0.8974680330580815, 0.0], [0.7749574348740003, 0.0, 0.0, 0.0, 0.7982701053157513]]}.
